"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2281","Check displaying of dashboard page","LMS system","Wed Jan 07 14:32:31 UTC 2026","passed","Wed Jan 07 14:32:33 UTC 2026","Dashboard","Dashboard","",""
"","1650","Check displaying of empty courses list","LMS system","Wed Jan 07 14:32:27 UTC 2026","passed","Wed Jan 07 14:32:29 UTC 2026","Courses","Courses","",""
"","3603","Edit course","LMS system","Wed Jan 07 14:32:29 UTC 2026","passed","Wed Jan 07 14:32:33 UTC 2026","Courses","Courses","",""
"","2617","Create course","LMS system","Wed Jan 07 14:32:28 UTC 2026","passed","Wed Jan 07 14:32:31 UTC 2026","Courses","Courses","",""
"","1987","Registration with correct email, username and password","LMS system","Wed Jan 07 14:32:24 UTC 2026","passed","Wed Jan 07 14:32:26 UTC 2026","Registration","Authentication","",""
"","1875","User login with wrong email or password","LMS system","Wed Jan 07 14:32:21 UTC 2026","passed","Wed Jan 07 14:32:23 UTC 2026","Authorization","Authentication","",""
"","3149","User login with correct email and password","LMS system","Wed Jan 07 14:32:21 UTC 2026","passed","Wed Jan 07 14:32:24 UTC 2026","Authorization","Authentication","",""
"","1979","User login with wrong email or password","LMS system","Wed Jan 07 14:32:19 UTC 2026","passed","Wed Jan 07 14:32:21 UTC 2026","Authorization","Authentication","",""
"","1556","Navigation from login page to registration page","LMS system","Wed Jan 07 14:32:25 UTC 2026","passed","Wed Jan 07 14:32:26 UTC 2026","Authorization","Authentication","",""
"","1970","User login with wrong email or password","LMS system","Wed Jan 07 14:32:19 UTC 2026","passed","Wed Jan 07 14:32:21 UTC 2026","Authorization","Authentication","",""
