"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2820","Create course","LMS system","Wed May 13 14:42:58 UTC 2026","passed","Wed May 13 14:43:01 UTC 2026","Courses","Courses","",""
"","1585","Navigation from login page to registration page","LMS system","Wed May 13 14:42:55 UTC 2026","passed","Wed May 13 14:42:56 UTC 2026","Authorization","Authentication","",""
"","4087","User login with correct email and password","LMS system","Wed May 13 14:42:50 UTC 2026","passed","Wed May 13 14:42:54 UTC 2026","Authorization","Authentication","",""
"","2440","Registration with correct email, username and password","LMS system","Wed May 13 14:42:53 UTC 2026","passed","Wed May 13 14:42:55 UTC 2026","Registration","Authentication","",""
"","1988","Check displaying of dashboard page","LMS system","Wed May 13 14:43:01 UTC 2026","passed","Wed May 13 14:43:03 UTC 2026","Dashboard","Dashboard","",""
"","2501","User login with wrong email or password","LMS system","Wed May 13 14:42:50 UTC 2026","passed","Wed May 13 14:42:52 UTC 2026","Authorization","Authentication","",""
"","1877","Check displaying of empty courses list","LMS system","Wed May 13 14:42:58 UTC 2026","passed","Wed May 13 14:43:00 UTC 2026","Courses","Courses","",""
"","2351","User login with wrong email or password","LMS system","Wed May 13 14:42:47 UTC 2026","passed","Wed May 13 14:42:49 UTC 2026","Authorization","Authentication","",""
"","3051","Edit course","LMS system","Wed May 13 14:43:00 UTC 2026","passed","Wed May 13 14:43:03 UTC 2026","Courses","Courses","",""
"","2252","User login with wrong email or password","LMS system","Wed May 13 14:42:47 UTC 2026","passed","Wed May 13 14:42:49 UTC 2026","Authorization","Authentication","",""
