"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2205","Create course","LMS system","Wed Jan 07 15:21:20 UTC 2026","passed","Wed Jan 07 15:21:22 UTC 2026","Courses","Courses","",""
"","1674","Registration with correct email, username and password","LMS system","Wed Jan 07 15:21:16 UTC 2026","passed","Wed Jan 07 15:21:18 UTC 2026","Registration","Authentication","",""
"","1855","Check displaying of dashboard page","LMS system","Wed Jan 07 15:21:22 UTC 2026","passed","Wed Jan 07 15:21:24 UTC 2026","Dashboard","Dashboard","",""
"","2008","User login with wrong email or password","LMS system","Wed Jan 07 15:21:11 UTC 2026","passed","Wed Jan 07 15:21:13 UTC 2026","Authorization","Authentication","",""
"","2769","Edit course","LMS system","Wed Jan 07 15:21:20 UTC 2026","passed","Wed Jan 07 15:21:23 UTC 2026","Courses","Courses","",""
"","2985","User login with correct email and password","LMS system","Wed Jan 07 15:21:13 UTC 2026","passed","Wed Jan 07 15:21:16 UTC 2026","Authorization","Authentication","",""
"","1534","Check displaying of empty courses list","LMS system","Wed Jan 07 15:21:19 UTC 2026","passed","Wed Jan 07 15:21:20 UTC 2026","Courses","Courses","",""
"","1621","Navigation from login page to registration page","LMS system","Wed Jan 07 15:21:15 UTC 2026","passed","Wed Jan 07 15:21:17 UTC 2026","Authorization","Authentication","",""
"","1954","User login with wrong email or password","LMS system","Wed Jan 07 15:21:11 UTC 2026","passed","Wed Jan 07 15:21:13 UTC 2026","Authorization","Authentication","",""
"","1743","User login with wrong email or password","LMS system","Wed Jan 07 15:21:13 UTC 2026","passed","Wed Jan 07 15:21:15 UTC 2026","Authorization","Authentication","",""
