"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1568","Navigation from login page to registration page","LMS system","Wed Jan 07 14:17:31 UTC 2026","passed","Wed Jan 07 14:17:33 UTC 2026","Authorization","Authentication","",""
"","2067","User login with wrong email or password","LMS system","Wed Jan 07 14:17:25 UTC 2026","passed","Wed Jan 07 14:17:27 UTC 2026","Authorization","Authentication","",""
"","3024","Edit course","LMS system","Wed Jan 07 14:17:36 UTC 2026","passed","Wed Jan 07 14:17:39 UTC 2026","Courses","Courses","",""
"","1637","Check displaying of empty courses list","LMS system","Wed Jan 07 14:17:34 UTC 2026","passed","Wed Jan 07 14:17:35 UTC 2026","Courses","Courses","",""
"","2046","Check displaying of dashboard page","LMS system","Wed Jan 07 14:17:37 UTC 2026","passed","Wed Jan 07 14:17:39 UTC 2026","Dashboard","Dashboard","",""
"","1838","User login with wrong email or password","LMS system","Wed Jan 07 14:17:28 UTC 2026","passed","Wed Jan 07 14:17:29 UTC 2026","Authorization","Authentication","",""
"","3061","User login with correct email and password","LMS system","Wed Jan 07 14:17:28 UTC 2026","passed","Wed Jan 07 14:17:31 UTC 2026","Authorization","Authentication","",""
"","1951","User login with wrong email or password","LMS system","Wed Jan 07 14:17:25 UTC 2026","passed","Wed Jan 07 14:17:27 UTC 2026","Authorization","Authentication","",""
"","2366","Create course","LMS system","Wed Jan 07 14:17:34 UTC 2026","passed","Wed Jan 07 14:17:37 UTC 2026","Courses","Courses","",""
"","2115","Registration with correct email, username and password","LMS system","Wed Jan 07 14:17:30 UTC 2026","passed","Wed Jan 07 14:17:32 UTC 2026","Registration","Authentication","",""
