"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1742","Check displaying of dashboard page","LMS system","Wed Jan 07 12:11:15 UTC 2026","passed","Wed Jan 07 12:11:17 UTC 2026","Dashboard","Dashboard","",""
"","1682","Check displaying of empty courses list","LMS system","Wed Jan 07 12:11:10 UTC 2026","passed","Wed Jan 07 12:11:12 UTC 2026","Courses","Courses","",""
"","2132","Registration with correct email, username and password","LMS system","Wed Jan 07 12:11:08 UTC 2026","passed","Wed Jan 07 12:11:10 UTC 2026","Registration","Authentication","",""
"","2960","Edit course","LMS system","Wed Jan 07 12:11:12 UTC 2026","passed","Wed Jan 07 12:11:15 UTC 2026","Courses","Courses","",""
"","3254","User login with correct email and password","LMS system","Wed Jan 07 12:11:04 UTC 2026","passed","Wed Jan 07 12:11:07 UTC 2026","Authorization","Authentication","",""
"","1856","User login with wrong email or password","LMS system","Wed Jan 07 12:11:02 UTC 2026","passed","Wed Jan 07 12:11:04 UTC 2026","Authorization","Authentication","",""
"","1818","User login with wrong email or password","LMS system","Wed Jan 07 12:11:02 UTC 2026","passed","Wed Jan 07 12:11:04 UTC 2026","Authorization","Authentication","",""
"","2596","Create course","LMS system","Wed Jan 07 12:11:12 UTC 2026","passed","Wed Jan 07 12:11:14 UTC 2026","Courses","Courses","",""
"","1856","Navigation from login page to registration page","LMS system","Wed Jan 07 12:11:06 UTC 2026","passed","Wed Jan 07 12:11:08 UTC 2026","Authorization","Authentication","",""
"","1659","User login with wrong email or password","LMS system","Wed Jan 07 12:11:04 UTC 2026","passed","Wed Jan 07 12:11:06 UTC 2026","Authorization","Authentication","",""
