"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2147","Registration with correct email, username and password","LMS system","Wed Jan 07 15:08:43 UTC 2026","passed","Wed Jan 07 15:08:45 UTC 2026","Registration","Authentication","",""
"","2982","Edit course","LMS system","Wed Jan 07 15:08:49 UTC 2026","passed","Wed Jan 07 15:08:52 UTC 2026","Courses","Courses","",""
"","1657","Check displaying of empty courses list","LMS system","Wed Jan 07 15:08:47 UTC 2026","passed","Wed Jan 07 15:08:48 UTC 2026","Courses","Courses","",""
"","1481","User login with wrong email or password","LMS system","Wed Jan 07 15:08:41 UTC 2026","passed","Wed Jan 07 15:08:43 UTC 2026","Authorization","Authentication","",""
"","1640","Navigation from login page to registration page","LMS system","Wed Jan 07 15:08:45 UTC 2026","passed","Wed Jan 07 15:08:47 UTC 2026","Authorization","Authentication","",""
"","2531","Create course","LMS system","Wed Jan 07 15:08:48 UTC 2026","passed","Wed Jan 07 15:08:51 UTC 2026","Courses","Courses","",""
"","1844","Check displaying of dashboard page","LMS system","Wed Jan 07 15:08:51 UTC 2026","passed","Wed Jan 07 15:08:53 UTC 2026","Dashboard","Dashboard","",""
"","3424","User login with correct email and password","LMS system","Wed Jan 07 15:08:41 UTC 2026","passed","Wed Jan 07 15:08:45 UTC 2026","Authorization","Authentication","",""
"","2108","User login with wrong email or password","LMS system","Wed Jan 07 15:08:39 UTC 2026","passed","Wed Jan 07 15:08:41 UTC 2026","Authorization","Authentication","",""
"","2127","User login with wrong email or password","LMS system","Wed Jan 07 15:08:39 UTC 2026","passed","Wed Jan 07 15:08:41 UTC 2026","Authorization","Authentication","",""
