"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2964","User login with correct email and password","LMS system","Wed Jan 07 12:00:16 UTC 2026","passed","Wed Jan 07 12:00:19 UTC 2026","Authorization","Authentication","",""
"","1882","User login with wrong email or password","LMS system","Wed Jan 07 12:00:14 UTC 2026","passed","Wed Jan 07 12:00:16 UTC 2026","Authorization","Authentication","",""
"","1853","User login with wrong email or password","LMS system","Wed Jan 07 12:00:14 UTC 2026","passed","Wed Jan 07 12:00:16 UTC 2026","Authorization","Authentication","",""
"","2256","Create course","LMS system","Wed Jan 07 12:00:23 UTC 2026","passed","Wed Jan 07 12:00:25 UTC 2026","Courses","Courses","",""
"","1932","Check displaying of dashboard page","LMS system","Wed Jan 07 12:00:25 UTC 2026","passed","Wed Jan 07 12:00:27 UTC 2026","Dashboard","Dashboard","",""
"","1971","Registration with correct email, username and password","LMS system","Wed Jan 07 12:00:18 UTC 2026","passed","Wed Jan 07 12:00:20 UTC 2026","Registration","Authentication","",""
"","1586","Navigation from login page to registration page","LMS system","Wed Jan 07 12:00:19 UTC 2026","passed","Wed Jan 07 12:00:21 UTC 2026","Authorization","Authentication","",""
"","1533","Check displaying of empty courses list","LMS system","Wed Jan 07 12:00:22 UTC 2026","passed","Wed Jan 07 12:00:23 UTC 2026","Courses","Courses","",""
"","1696","User login with wrong email or password","LMS system","Wed Jan 07 12:00:16 UTC 2026","passed","Wed Jan 07 12:00:18 UTC 2026","Authorization","Authentication","",""
"","2899","Edit course","LMS system","Wed Jan 07 12:00:24 UTC 2026","passed","Wed Jan 07 12:00:27 UTC 2026","Courses","Courses","",""
