"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1752","User login with wrong email or password","LMS system","Wed Jan 07 11:43:40 UTC 2026","passed","Wed Jan 07 11:43:42 UTC 2026","Authorization","Authentication","",""
"","2207","Check displaying of dashboard page","LMS system","Wed Jan 07 11:43:52 UTC 2026","passed","Wed Jan 07 11:43:54 UTC 2026","Dashboard","Dashboard","",""
"","1718","User login with wrong email or password","LMS system","Wed Jan 07 11:43:43 UTC 2026","passed","Wed Jan 07 11:43:45 UTC 2026","Authorization","Authentication","",""
"","2151","User login with wrong email or password","LMS system","Wed Jan 07 11:43:40 UTC 2026","passed","Wed Jan 07 11:43:43 UTC 2026","Authorization","Authentication","",""
"","2325","Create course","LMS system","Wed Jan 07 11:43:49 UTC 2026","passed","Wed Jan 07 11:43:52 UTC 2026","Courses","Courses","",""
"","3639","Edit course","LMS system","Wed Jan 07 11:43:51 UTC 2026","passed","Wed Jan 07 11:43:54 UTC 2026","Courses","Courses","",""
"","2269","Registration with correct email, username and password","LMS system","Wed Jan 07 11:43:45 UTC 2026","passed","Wed Jan 07 11:43:47 UTC 2026","Registration","Authentication","",""
"","1640","Navigation from login page to registration page","LMS system","Wed Jan 07 11:43:46 UTC 2026","passed","Wed Jan 07 11:43:48 UTC 2026","Authorization","Authentication","",""
"","1630","Check displaying of empty courses list","LMS system","Wed Jan 07 11:43:49 UTC 2026","passed","Wed Jan 07 11:43:51 UTC 2026","Courses","Courses","",""
"","3124","User login with correct email and password","LMS system","Wed Jan 07 11:43:42 UTC 2026","passed","Wed Jan 07 11:43:46 UTC 2026","Authorization","Authentication","",""
